ta2Id,name,chapter,class,kind,match,meshCount,meshes
1850,"Sacrotuberous ligament",3,structure,ligament / capsule,exact,2,"male:left-sacrotuberous-ligament male:right-sacrotuberous-ligament"
1851,"Falciform process",3,feature,,n/a,0,""
1852,"Sacrospinous ligament",3,structure,ligament / capsule,exact,2,"male:left-sacrospinous-ligament male:right-sacrospinous-ligament"
1853,"Iliolumbar ligament",3,structure,ligament / capsule,exact,2,"male:left-iliolumbar-ligament male:right-iliolumbar-ligament"
1854,"CARTILAGINOUS JOINTS OF PELVIC GIRDLE",3,heading,,n/a,0,""
1855,"Pubic symphysis",3,structure,bone / cartilage / joint,exact,1,"male:pubic-symphysis"
1856,"Interpubic disc",3,structure,other,exact,1,"male:interpubic-disc"
1857,"Superior pubic ligament",3,structure,ligament / capsule,exact,1,"male:superior-pubic-ligament"
1858,"Inferior pubic ligament",3,structure,ligament / capsule,exact,1,"male:inferior-pubic-ligament"
1859,"Triradiate cartilage",3,structure,bone / cartilage / joint,exact,2,"male:left-triradiate-cartilage male:right-triradiate-cartilage"
1860,"SYNOVIAL JOINTS OF PELVIC GIRDLE",3,heading,,n/a,0,""
1861,"Sacroiliac joint",3,structure,bone / cartilage / joint,none,0,""
1862,"Anterior sacroiliac ligament",3,structure,ligament / capsule,exact,2,"male:left-anterior-sacro-iliac-ligament male:right-anterior-sacro-iliac-ligament"
1863,"Interosseous sacroiliac ligament",3,structure,ligament / capsule,exact,2,"male:left-interosseous-sacro-iliac-ligament male:right-interosseous-sacro-iliac-ligament"
1864,"Posterior sacroiliac ligament",3,structure,ligament / capsule,exact,2,"male:left-posterior-sacro-iliac-ligament male:right-posterior-sacro-iliac-ligament"
1865,"Joints of free lower limb",3,structure,other,none,0,""
1866,"FIBROUS JOINTS OF FREE LOWER LIMB",3,heading,,n/a,0,""
1867,"Interosseous membrane of leg",3,structure,other,exact,2,"male:interosseous-membrane-of-right-leg male:interosseous-membrane-of-left-leg"
1868,"Tibiofibular syndesmosis",3,structure,other,none,0,""
1869,"Anterior tibiofibular ligament",3,structure,ligament / capsule,exact,2,"male:left-anterior-tibiofibular-ligament male:right-anterior-tibiofibular-ligament"
1870,"Posterior tibiofibular ligament",3,structure,ligament / capsule,exact,2,"male:left-posterior-tibiofibular-ligament male:right-posterior-tibiofibular-ligament"
1871,"Transverse tibiofibular ligament",3,structure,ligament / capsule,exact,2,"male:left-transverse-tibiofibular-ligament male:right-transverse-tibiofibular-ligament"
1872,"SYNOVIAL JOINTS OF FREE LOWER LIMB",3,heading,,n/a,0,""
1873,"Hip joint",3,structure,bone / cartilage / joint,partial,2,"male:left-articular-capsule-of-hip-joint male:right-articular-capsule-of-hip-joint"
1874,"Zona orbicularis",3,structure,other,none,0,""
1875,"Iliofemoral ligament",3,structure,ligament / capsule,partial,4,"male:left-descending-part-of-iliofemoral-ligament male:right-descending-part-of-iliofemoral-ligament male:left-transverse-part-of-iliofemoral-ligament male:right-transverse-part-of-iliofemoral-ligament"
